coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain
"{'lon': 31.66, 'lat': 9.53}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 75.42, 'feels_like': 80.04, 'temp_min': 75.42, 'temp_max': 75.42, 'pressure': 1010, 'humidity': 80, 'sea_level': 1010, 'grnd_level': 965}",,"{'speed': 4.27, 'deg': 144}",{'all': 30},1593038487.0,"{'country': 'SS', 'sunrise': 1593056139, 'sunset': 1593101778}",10800.0,370737.0,Malakal,200,,
"{'lon': 114.16, 'lat': 22.29}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 84.25, 'feels_like': 89.01, 'temp_min': 82, 'temp_max': 86, 'pressure': 1006, 'humidity': 74}",,"{'speed': 10, 'deg': 210}",{'all': 100},1593038019.0,"{'type': 3, 'id': 47808, 'country': 'HK', 'sunrise': 1593034866, 'sunset': 1593083445}",28800.0,1819729.0,Hong Kong,200,,
"{'lon': 107.08, 'lat': 10.35}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 81.68, 'feels_like': 87.98, 'temp_min': 81.68, 'temp_max': 81.68, 'pressure': 1008, 'humidity': 82, 'sea_level': 1008, 'grnd_level': 1007}",,"{'speed': 7.85, 'deg': 267}",{'all': 100},1593038487.0,"{'country': 'VN', 'sunrise': 1593037946, 'sunset': 1593083764}",25200.0,1562414.0,Vung Tau,200,,{'1h': 1.64}
"{'lon': 55.48, 'lat': -21.34}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 61.11, 'feels_like': 58.39, 'temp_min': 55, 'temp_max': 68, 'pressure': 1019, 'humidity': 77}",10000.0,"{'speed': 6.93, 'deg': 50}",{'all': 2},1593038487.0,"{'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1593053738, 'sunset': 1593092743}",14400.0,935214.0,Saint-Pierre,200,,
"{'lon': -68.93, 'lat': -22.47}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 59, 'feels_like': 42.15, 'temp_min': 59, 'temp_max': 59, 'pressure': 1023, 'humidity': 13}",10000.0,"{'speed': 19.46, 'deg': 260}",{'all': 0},1593038487.0,"{'type': 1, 'id': 8480, 'country': 'CL', 'sunrise': 1592997327, 'sunset': 1593036055}",-14400.0,3897347.0,Calama,200,,
"{'lon': -73.41, 'lat': 41.37}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 81.61, 'feels_like': 74.01, 'temp_min': 80.01, 'temp_max': 84, 'pressure': 1007, 'humidity': 34}",16093.0,"{'speed': 13.87, 'deg': 250, 'gust': 23.04}",{'all': 1},1593038487.0,"{'type': 1, 'id': 3888, 'country': 'US', 'sunrise': 1592990476, 'sunset': 1593045057}",-14400.0,5282297.0,Bethel,200,,
"{'lon': -73.97, 'lat': 42.6}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 80.8, 'feels_like': 77.14, 'temp_min': 78.01, 'temp_max': 84, 'pressure': 1004, 'humidity': 37}",,"{'speed': 7.65, 'deg': 295}",{'all': 1},1593038435.0,"{'type': 3, 'id': 19530, 'country': 'US', 'sunrise': 1592990351, 'sunset': 1593045451}",-14400.0,5106841.0,Albany,200,,
"{'lon': -64.25, 'lat': 8.89}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 82.67, 'feels_like': 83.71, 'temp_min': 82.67, 'temp_max': 82.67, 'pressure': 1009, 'humidity': 60, 'sea_level': 1009, 'grnd_level': 976}",,"{'speed': 9.42, 'deg': 61}",{'all': 26},1593038487.0,"{'country': 'VE', 'sunrise': 1592992816, 'sunset': 1593038320}",-14400.0,3641351.0,El Tigre,200,,
"{'lon': -53.46, 'lat': -33.7}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 62.78, 'feels_like': 65.84, 'temp_min': 62.78, 'temp_max': 62.78, 'pressure': 1004, 'humidity': 98, 'sea_level': 1004, 'grnd_level': 1003}",,"{'speed': 1.88, 'deg': 350}",{'all': 100},1593038487.0,"{'country': 'UY', 'sunrise': 1592995132, 'sunset': 1593030824}",-10800.0,3443061.0,Chui,200,,{'1h': 0.62}
"{'lon': 168.86, 'lat': -46.19}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 47.98, 'feels_like': 41.25, 'temp_min': 47.98, 'temp_max': 47.98, 'pressure': 1025, 'humidity': 79, 'sea_level': 1025, 'grnd_level': 1019}",,"{'speed': 8.63, 'deg': 73}",{'all': 50},1593038488.0,"{'country': 'NZ', 'sunrise': 1593030509, 'sunset': 1593061543}",43200.0,6201424.0,Mataura,200,,
